;departamento;sexo;edad;direccion;t_familia;padres_status;madre_edu;padre_edu;madre_trab;padre_trab;razon;guardian;t_examen;t_estudio;faltas;soporte_edu_extra;soporte_edu_fam;monitores;actividades_extra;preuniversitario;postgrado;internet;relacion_sen;relacion_fam;tiempo_libre;salir_amigos;cons_alcohol_sem;cons_alcohol_finde;salud;ausencias;nota_01;nota_02;nota_03
169;II;H;17;R;menor_e3;J;1;2;otro;otro;reputacion;madre;1;1;3;no;no;no;no;si;si;no;no;2;2;2;3;3;5;14;9;8;10
170;II;M;18;R;mayor_3;J;1;1;en_casa;otro;habilidad;madre;3;1;3;no;si;no;si;no;si;no;no;5;2;5;1;5;4;6;11;10;11
171;II;H;16;R;mayor_3;J;2;2;en_casa;otro;habilidad;madre;3;1;0;no;no;no;no;no;si;no;no;4;2;2;1;2;3;4;12;10;11
172;II;H;16;U;mayor_3;J;3;3;otro;servicios;habilidad;padre;1;2;1;no;si;no;no;si;si;yes;yes;4;5;5;4;4;5;0;10;10;1
173;II;H;16;U;menor_e3;J;1;2;salud;servicios;habilidad;madre;2;1;2;no;no;no;no;no;si;yes;no;4;4;5;3;5;5;0;9;8;10
174;II;H;17;R;menor_e3;J;2;1;en_casa;otro;habilidad;madre;2;1;1;no;no;si;si;si;no;yes;yes;3;3;2;2;2;5;8;8;8;9
175;II;H;17;R;mayor_3;J;3;2;otro;otro;habilidad;madre;2;2;2;si;si;no;no;si;si;yes;yes;4;4;4;1;4;3;4;7;6;8
176;II;H;15;U;menor_e3;J;1;2;otro;otro;habilidad;madre;2;1;0;no;no;no;si;si;si;no;no;4;4;4;2;4;5;2;8;9;10
177;II;H;16;U;mayor_3;J;1;3;en_casa;servicios;habilidad;padre;1;1;1;no;no;no;no;si;no;yes;no;5;3;3;1;4;2;2;9;8;8
178;II;H;17;R;menor_e3;J;1;1;otro;servicios;habilidad;madre;4;2;0;no;no;no;si;si;no;no;yes;5;3;5;1;5;5;0;8;8;8
179;II;H;17;U;mayor_3;J;3;2;servicios;servicios;habilidad;madre;2;1;3;no;si;no;si;no;no;no;no;4;5;2;1;1;2;10;8;7;8
180;II;H;16;U;mayor_3;J;2;2;otro;otro;habilidad;padre;1;2;0;no;no;no;no;si;no;yes;no;4;3;5;2;4;4;0;9;10;11
181;II;M;16;U;mayor_3;J;4;2;salud;servicios;recomendacion;padre;1;2;0;no;no;no;no;si;si;yes;yes;4;2;3;1;1;3;0;17;17;18
182;II;M;16;U;mayor_3;J;2;2;otro;otro;recomendacion;madre;1;2;0;no;si;no;no;no;si;yes;no;5;1;5;1;1;4;0;12;12;13
183;II;M;16;U;mayor_3;J;4;4;salud;salud;reputacion;madre;1;2;0;no;si;no;no;si;si;yes;yes;4;4;2;1;1;3;0;16;16;17
184;II;H;16;U;mayor_3;J;3;4;otro;otro;habilidad;padre;3;1;1;no;si;no;si;no;si;yes;no;3;4;5;2;4;2;4;9;9;10
185;II;H;16;U;mayor_3;J;1;0;otro;otro;reputacion;madre;2;2;0;no;si;no;si;si;si;yes;yes;4;3;2;1;1;3;0;16;17;18
186;II;H;17;U;menor_e3;J;4;4;profesor;otro;reputacion;madre;1;2;0;no;si;no;si;si;si;yes;no;4;4;4;1;3;5;0;11;9;10
187;II;M;16;U;mayor_3;J;1;3;en_casa;servicios;recomendacion;madre;1;2;0;no;no;no;si;no;si;yes;yes;4;3;5;1;1;3;0;14;13;13
188;II;M;16;U;menor_e3;J;3;3;otro;otro;reputacion;madre;2;2;0;no;si;no;si;si;si;yes;no;4;4;5;1;1;4;0;14;14;15
189;II;H;17;U;menor_e3;J;4;3;profesor;otro;habilidad;madre;2;2;0;no;no;no;si;si;si;yes;no;4;4;4;4;4;4;0;10;11;11
190;II;M;16;U;mayor_3;J;2;2;servicios;otro;reputacion;madre;2;2;0;no;no;no;si;no;si;yes;no;3;4;4;1;4;5;0;13;12;14
191;II;H;17;U;mayor_3;J;3;3;otro;otro;reputacion;padre;1;2;0;no;no;no;si;no;si;yes;no;4;3;4;1;4;4;4;11;9;10
192;II;H;16;R;mayor_3;J;4;2;profesor;servicios;otro;madre;1;1;0;no;si;no;si;si;si;yes;yes;4;3;3;3;4;3;8;10;9;11
193;II;H;17;U;mayor_3;J;4;3;otro;otro;habilidad;madre;1;2;0;no;si;si;si;si;si;yes;yes;5;2;3;1;1;2;4;11;11;13
194;II;H;16;U;mayor_3;J;4;3;profesor;otro;recomendacion;madre;1;2;0;no;si;si;si;si;si;yes;no;3;4;3;2;3;3;4;11;10;11
195;II;H;16;U;mayor_3;J;3;3;servicios;otro;recomendacion;madre;1;2;0;no;no;no;si;si;si;yes;yes;4;2;3;1;2;3;0;11;12;13
196;II;M;17;U;mayor_3;J;2;4;servicios;servicios;reputacion;padre;1;2;0;no;si;no;si;si;si;no;no;5;4;2;2;3;5;0;17;18;17
197;II;M;17;U;menor_e3;J;3;3;otro;otro;reputacion;madre;1;2;0;no;si;no;si;si;si;yes;yes;5;3;3;2;3;1;32;14;13;14
198;II;M;16;U;mayor_3;J;3;2;otro;otro;reputacion;madre;1;2;0;no;si;no;no;si;si;yes;no;1;2;2;1;2;1;8;14;15;16
199;II;H;17;U;mayor_3;J;3;3;servicios;servicios;otro;madre;1;2;0;no;si;no;si;si;si;yes;yes;4;3;4;2;3;4;6;11;13;14
200;II;H;16;U;mayor_3;J;1;2;servicios;servicios;otro;madre;1;1;0;no;si;no;si;si;si;yes;yes;3;3;3;1;2;3;0;10;9;11
201;II;H;16;U;menor_e3;J;2;1;otro;otro;habilidad;madre;1;2;0;no;no;no;si;si;si;yes;yes;4;2;3;1;2;5;0;13;14;16
202;II;M;17;U;mayor_3;S;3;3;salud;otro;reputacion;madre;1;2;0;no;si;no;no;no;si;yes;yes;3;3;3;1;3;3;10;12;13;14
203;II;H;17;R;mayor_3;J;1;2;en_casa;otro;recomendacion;madre;1;2;0;no;no;no;no;si;si;no;no;3;1;3;1;5;3;6;9;9;10
204;II;M;16;U;mayor_3;J;2;3;servicios;servicios;habilidad;madre;1;2;0;no;no;no;no;si;si;yes;no;4;3;3;1;1;2;6;12;12;13
205;II;M;17;U;mayor_3;J;1;1;en_casa;servicios;habilidad;madre;1;2;0;no;no;no;si;si;si;yes;no;5;3;3;1;1;3;0;12;11;12
206;II;H;17;U;mayor_3;J;1;2;en_casa;servicios;otro;otro;2;2;0;no;no;no;si;no;si;yes;no;4;4;4;4;5;5;16;10;11;12
207;II;H;16;R;mayor_3;J;3;3;servicios;servicios;reputacion;madre;1;1;0;no;si;no;si;si;si;yes;no;4;3;2;3;4;5;0;11;10;10
208;II;H;16;U;mayor_3;J;2;3;otro;otro;recomendacion;padre;2;1;0;no;no;no;no;si;si;yes;no;5;3;3;1;1;3;0;13;12;12
209;II;M;17;U;menor_e3;J;2;4;servicios;servicios;habilidad;padre;1;2;0;no;no;no;si;si;si;yes;yes;4;3;2;1;1;5;8;14;15;16
210;II;H;17;U;mayor_3;J;4;4;servicios;profesor;recomendacion;madre;1;1;0;no;no;no;no;si;si;yes;no;5;2;3;1;2;5;4;13;13;14
211;II;H;16;R;menor_e3;J;3;3;profesor;otro;recomendacion;padre;3;1;0;no;si;no;si;si;si;yes;no;3;3;4;3;5;3;16;10;11;12
212;II;M;17;U;mayor_3;J;4;4;servicios;profesor;recomendacion;madre;2;1;1;no;si;no;no;si;si;yes;no;4;2;4;2;3;2;30;14;15;16
213;II;M;16;U;menor_e3;J;4;4;profesor;profesor;reputacion;madre;1;2;0;no;si;no;no;si;si;yes;no;4;5;2;1;2;3;0;11;10;11
214;II;M;16;U;mayor_3;J;4;3;salud;otro;recomendacion;madre;1;2;0;no;si;no;si;si;si;yes;no;4;3;5;1;5;2;2;14;14;15
215;II;M;16;U;mayor_3;J;2;3;otro;otro;reputacion;madre;1;2;0;si;si;no;si;si;si;no;no;4;4;3;1;3;4;4;11;12;12
216;II;M;17;U;mayor_3;J;1;1;otro;otro;habilidad;madre;1;2;0;no;si;no;no;no;si;no;no;4;4;4;1;3;1;0;14;15;15
217;II;M;17;R;mayor_3;J;2;2;otro;otro;reputacion;madre;1;1;0;no;si;no;no;si;si;yes;no;5;3;2;1;2;3;21;13;13;13
218;II;M;16;R;mayor_3;J;2;2;servicios;servicios;reputacion;madre;2;4;0;no;si;no;si;no;si;yes;no;5;3;5;1;1;5;6;13;13;13
219;II;M;17;U;mayor_3;J;3;4;en_casa;servicios;recomendacion;madre;1;3;1;no;si;si;no;si;si;yes;yes;4;4;3;3;4;5;14;8;9;8
220;II;M;16;U;mayor_3;S;3;1;servicios;otro;habilidad;madre;1;2;0;no;si;no;no;si;si;yes;no;2;3;3;2;2;4;2;11;11;12
221;II;M;16;U;mayor_3;J;4;3;profesor;otro;otro;madre;1;2;0;no;no;no;si;si;si;yes;yes;1;3;2;1;1;1;4;14;15;15
222;II;M;16;U;mayor_3;J;1;1;en_casa;otro;recomendacion;madre;2;1;0;no;si;no;no;si;si;no;no;4;3;2;1;4;5;2;12;13;13
223;II;M;17;R;mayor_3;J;4;3;profesor;otro;reputacion;madre;2;3;0;no;si;no;si;si;si;yes;yes;4;4;2;1;1;4;0;11;12;12
224;II;M;19;U;mayor_3;J;3;3;otro;otro;reputacion;otro;1;4;0;no;si;no;si;si;si;yes;no;4;3;3;1;2;3;4;12;12;12
225;II;H;17;U;menor_e3;J;4;4;servicios;otro;recomendacion;madre;1;2;0;no;si;no;no;si;si;yes;yes;5;3;5;4;5;3;15;13;12;12
226;II;M;16;U;mayor_3;S;2;2;otro;otro;reputacion;madre;1;2;0;si;si;no;no;si;si;yes;no;3;3;4;1;1;4;0;13;13;13
227;II;H;18;U;mayor_3;J;2;2;servicios;otro;recomendacion;madre;1;2;0;no;si;no;si;si;si;yes;no;4;4;4;2;4;5;10;12;11;11
228;II;M;17;R;menor_e3;J;4;4;servicios;otro;otro;madre;1;1;0;no;si;no;no;si;si;no;no;5;2;1;1;2;3;6;12;11;11
229;II;M;17;U;menor_e3;J;3;2;otro;otro;reputacion;madre;2;2;0;no;no;no;no;si;si;yes;no;4;4;4;1;3;1;2;14;16;15
230;II;M;17;U;mayor_3;J;4;3;otro;otro;reputacion;madre;1;2;0;no;no;no;no;si;si;yes;yes;3;4;5;2;4;1;16;11;9;10
231;II;H;18;U;menor_e3;J;3;3;servicios;salud;recomendacion;padre;1;2;0;no;si;no;no;si;si;yes;no;3;2;4;2;4;4;10;10;10;10
232;II;M;17;U;mayor_3;J;2;3;en_casa;otro;recomendacion;padre;2;1;0;no;si;no;no;si;si;no;no;3;3;3;1;4;3;4;12;13;13
233;II;M;17;U;mayor_3;J;2;2;en_casa;en_casa;habilidad;madre;1;3;0;no;si;no;si;si;si;yes;no;4;3;3;1;1;4;0;12;12;13
234;II;M;17;R;mayor_3;J;2;1;en_casa;servicios;reputacion;madre;2;2;0;no;si;no;si;si;si;yes;no;4;2;5;1;2;5;0;11;10;11
235;II;M;17;U;mayor_3;J;1;1;en_casa;otro;reputacion;madre;1;3;0;no;si;no;si;si;si;no;yes;4;3;4;1;1;5;12;12;12;12
236;II;M;16;U;mayor_3;J;2;3;servicios;profesor;otro;madre;1;2;0;si;no;no;no;si;si;yes;no;2;3;1;1;1;3;0;13;13;14
237;II;H;18;U;mayor_3;J;2;2;otro;otro;recomendacion;madre;2;2;3;no;si;si;no;si;si;yes;no;3;3;3;5;5;4;9;10;9;10
238;II;M;16;U;mayor_3;J;4;4;profesor;servicios;recomendacion;madre;1;3;0;no;si;no;si;no;si;yes;no;5;3;2;1;1;5;4;15;16;16
239;II;M;18;R;mayor_3;J;3;1;otro;otro;reputacion;madre;1;2;0;no;no;no;si;si;si;yes;yes;5;3;3;1;1;4;4;8;8;8
240;II;M;17;U;mayor_3;J;3;2;otro;otro;habilidad;madre;1;2;0;no;no;no;si;no;si;yes;no;5;3;4;1;3;3;2;17;18;17
241;II;H;17;U;menor_e3;J;2;3;servicios;servicios;reputacion;padre;1;2;0;no;si;no;no;no;si;yes;no;5;3;3;1;3;3;0;10;11;11
242;II;H;18;U;menor_e3;J;2;1;en_casa;otro;habilidad;madre;4;2;0;si;si;no;si;si;si;yes;yes;4;3;2;4;5;3;2;9;10;11
243;II;M;17;U;mayor_3;S;2;1;otro;otro;habilidad;madre;2;3;0;no;no;no;si;si;si;yes;yes;3;2;3;1;2;3;0;15;15;16
244;II;M;17;U;menor_e3;J;4;3;salud;otro;reputacion;padre;1;2;0;no;no;no;si;si;si;yes;yes;3;2;3;1;2;3;0;14;12;12
245;II;H;17;R;mayor_3;J;2;2;otro;otro;habilidad;padre;2;2;0;no;si;no;si;si;si;yes;no;4;5;2;1;1;1;0;12;13;13
246;II;H;17;U;mayor_3;J;4;4;profesor;profesor;reputacion;madre;1;2;0;si;si;no;si;si;si;yes;yes;4;5;5;1;3;2;0;13;13;13
247;II;H;16;U;mayor_3;J;4;4;salud;otro;reputacion;padre;1;2;0;no;si;no;si;si;si;yes;no;4;2;4;2;4;1;0;13;13;14
248;II;H;16;U;menor_e3;J;1;1;otro;otro;recomendacion;madre;2;2;0;no;si;no;no;si;si;yes;no;3;4;2;1;1;5;2;9;9;9
249;II;H;16;U;mayor_3;J;3;2;en_casa;otro;reputacion;madre;2;3;0;no;no;no;si;si;si;yes;yes;5;3;3;1;3;2;0;12;12;12
250;II;H;17;U;menor_e3;J;2;2;otro;otro;recomendacion;padre;1;2;0;no;no;no;si;no;si;yes;yes;4;4;2;5;5;4;0;16;16;16
251;II;M;16;U;mayor_3;J;2;1;otro;otro;recomendacion;madre;1;1;0;no;no;no;no;si;si;yes;yes;4;5;2;1;1;5;4;9;10;10
252;II;M;16;U;mayor_3;S;4;1;otro;otro;recomendacion;madre;1;2;0;no;no;no;si;si;si;yes;yes;5;3;3;1;2;5;0;14;13;13
253;II;M;18;U;menor_e3;S;2;4;servicios;otro;habilidad;madre;2;2;1;no;si;no;no;si;si;yes;no;4;3;3;1;1;3;18;10;10;10
254;II;M;18;U;menor_e3;J;2;2;en_casa;servicios;habilidad;madre;1;2;1;no;si;no;no;no;si;yes;yes;5;3;1;1;1;5;16;9;8;10
255;II;M;18;U;mayor_3;J;3;3;otro;otro;habilidad;madre;2;1;1;no;no;no;no;si;no;yes;no;4;1;1;1;1;3;14;8;7;7
256;II;H;18;U;mayor_3;J;2;2;otro;en_casa;habilidad;otro;1;1;1;no;si;no;si;no;no;yes;yes;4;4;3;2;2;1;26;7;8;8
257;II;H;17;U;mayor_3;J;4;4;profesor;profesor;habilidad;madre;1;1;0;no;si;no;si;no;si;yes;no;4;2;1;1;2;5;6;10;8;9
258;II;M;17;U;mayor_3;J;3;2;otro;otro;habilidad;padre;1;2;0;no;no;no;si;si;si;no;no;5;4;2;1;1;3;4;14;14;15
259;II;M;17;U;menor_e3;J;1;1;en_casa;en_casa;habilidad;madre;1;3;0;no;si;no;si;si;si;yes;yes;4;3;2;1;2;4;10;11;10;10
260;II;M;16;U;mayor_3;J;1;2;otro;otro;habilidad;madre;1;1;0;no;no;no;no;si;no;yes;no;5;3;5;1;2;5;4;12;11;11
261;II;M;17;R;mayor_3;J;2;1;en_casa;servicios;habilidad;madre;3;2;0;no;no;no;si;si;si;no;no;2;1;1;1;1;3;2;13;13;13
262;II;M;17;R;menor_e3;S;1;4;otro;otro;habilidad;otro;4;1;1;no;si;no;no;si;si;yes;no;5;5;4;1;1;5;14;9;9;8
263;II;H;18;U;mayor_3;J;2;2;otro;servicios;reputacion;padre;1;2;0;no;no;no;no;si;no;yes;no;5;5;4;3;5;2;16;8;7;8
264;II;M;17;U;menor_e3;S;2;2;otro;otro;recomendacion;madre;1;1;1;no;si;no;no;no;no;yes;no;3;1;2;1;1;1;8;11;9;10
265;II;M;17;R;menor_e3;J;1;1;en_casa;otro;habilidad;madre;2;3;0;no;no;no;si;si;si;yes;no;4;3;3;1;3;5;4;15;14;15
266;II;M;17;U;menor_e3;S;4;2;profesor;otro;habilidad;madre;1;2;0;no;si;no;si;si;si;no;no;4;3;2;1;1;4;4;15;14;14
267;II;H;17;U;menor_e3;J;4;3;salud;otro;habilidad;madre;2;2;0;no;no;no;si;si;si;yes;yes;2;5;5;1;4;5;8;15;15;15
268;II;H;17;R;menor_e3;S;4;4;profesor;otro;habilidad;madre;2;2;0;no;si;no;no;si;si;yes;no;3;3;3;2;3;4;0;12;12;12
269;II;H;16;U;menor_e3;J;4;3;profesor;otro;habilidad;madre;1;1;0;no;no;no;si;no;si;yes;no;5;4;5;1;1;3;7;14;14;15
270;II;H;16;U;mayor_3;J;4;4;servicios;servicios;habilidad;madre;1;1;0;no;no;si;si;si;si;yes;no;5;3;2;1;2;5;4;14;15;15
271;II;M;17;U;mayor_3;J;4;4;profesor;servicios;habilidad;madre;1;2;0;no;si;si;no;si;si;yes;yes;5;3;1;1;4;5;2;11;11;12
272;II;H;17;R;mayor_3;J;1;1;otro;otro;recomendacion;padre;2;3;0;no;no;no;no;no;si;yes;yes;4;3;3;1;1;1;2;13;14;15
273;II;M;17;U;mayor_3;J;3;3;servicios;otro;recomendacion;madre;2;3;0;no;si;no;no;si;si;yes;yes;4;2;2;2;3;5;10;11;11;11
274;II;M;17;U;mayor_3;J;1;1;en_casa;otro;habilidad;madre;1;2;0;si;no;no;no;no;si;no;yes;4;3;2;1;1;4;10;10;9;10
275;II;M;18;U;mayor_3;J;2;1;otro;otro;habilidad;otro;2;3;0;no;si;no;no;no;si;yes;yes;4;4;4;1;1;3;10;12;10;11
276;II;H;16;U;mayor_3;J;2;1;otro;otro;habilidad;madre;3;1;0;no;no;no;no;si;si;yes;no;4;3;3;1;1;4;7;15;16;16
277;II;M;17;U;mayor_3;J;1;1;otro;servicios;habilidad;padre;1;2;0;no;si;no;no;si;si;no;no;4;3;4;1;2;5;4;11;10;11
278;II;H;17;U;mayor_3;J;2;3;otro;otro;habilidad;padre;2;1;0;no;no;no;no;si;si;yes;no;5;2;2;1;1;2;2;9;12;13
279;II;H;22;U;mayor_3;J;3;1;servicios;servicios;otro;madre;1;1;3;no;no;no;no;no;no;yes;yes;5;4;5;5;5;1;12;7;8;5
280;II;H;18;R;menor_e3;J;3;3;otro;servicios;habilidad;madre;1;2;0;no;si;no;no;si;si;yes;yes;4;3;3;1;3;5;8;10;9;10
281;II;H;16;U;mayor_3;J;0;2;otro;otro;otro;madre;1;1;0;no;no;no;no;no;si;yes;no;4;3;2;2;4;5;0;11;12;11
282;II;H;18;U;mayor_3;J;3;2;servicios;otro;habilidad;madre;2;1;0;no;no;no;no;si;no;yes;no;4;4;5;2;4;5;8;7;8;7
283;II;H;16;U;mayor_3;J;3;3;en_casa;otro;reputacion;otro;3;2;1;si;si;no;no;no;si;yes;no;5;3;3;1;3;2;4;9;11;10
284;II;H;18;U;mayor_3;J;2;1;servicios;servicios;otro;madre;1;1;2;no;no;no;no;no;no;yes;no;3;2;5;2;5;5;4;7;8;6
285;II;H;16;R;mayor_3;J;2;1;otro;otro;habilidad;madre;2;1;0;no;no;no;si;no;si;no;no;3;3;2;1;3;3;2;14;13;12
286;II;H;17;R;mayor_3;J;2;1;otro;otro;habilidad;madre;1;1;0;no;no;no;no;no;si;yes;no;4;4;2;2;4;5;0;12;12;13
287;II;H;17;U;menor_e3;J;1;1;salud;otro;habilidad;madre;2;1;1;no;si;no;si;si;si;yes;no;4;4;4;1;2;5;0;9;10;10
288;II;M;18;U;menor_e3;S;2;1;otro;otro;habilidad;madre;1;2;0;no;si;no;no;no;si;yes;yes;4;3;4;1;3;5;2;12;12;13
289;II;M;17;U;menor_e3;J;4;2;profesor;servicios;reputacion;madre;1;4;0;no;si;no;si;si;si;yes;no;4;2;3;1;1;4;2;14;15;17
290;II;M;19;U;mayor_3;J;2;2;servicios;servicios;recomendacion;madre;1;2;0;no;si;no;no;si;si;yes;no;4;3;3;1;1;5;0;10;10;11
291;II;H;18;U;menor_e3;J;2;1;servicios;otro;habilidad;madre;3;2;1;no;no;no;si;no;no;yes;no;4;4;5;4;4;5;4;11;10;11
292;II;M;17;R;mayor_3;J;4;2;otro;otro;habilidad;madre;1;3;0;no;si;no;si;si;si;yes;no;4;3;4;1;3;5;2;11;12;14
293;II;M;18;U;menor_e3;J;1;1;otro;en_casa;recomendacion;madre;1;3;0;no;si;no;no;no;si;no;no;4;4;3;2;3;3;4;11;12;14
294;II;M;18;R;mayor_3;J;2;2;otro;otro;recomendacion;madre;1;2;0;si;no;no;no;si;si;no;no;3;2;3;1;1;5;4;11;11;13
295;II;H;19;U;menor_e3;S;4;3;servicios;en_casa;reputacion;madre;1;2;0;no;si;no;no;si;si;yes;no;4;3;1;1;1;1;4;11;13;14
296;II;H;18;U;mayor_3;J;2;1;otro;otro;recomendacion;madre;1;2;0;no;no;no;si;si;si;yes;no;5;2;4;1;2;4;2;16;16;16
297;II;H;17;R;mayor_3;J;2;2;otro;servicios;otro;madre;2;1;0;no;no;no;no;no;no;no;no;5;2;2;1;1;4;0;9;10;10
298;II;M;17;U;menor_e3;J;2;2;servicios;servicios;habilidad;padre;1;4;0;no;no;no;si;si;si;yes;yes;3;4;1;1;1;2;2;10;11;12
299;II;M;20;R;mayor_3;J;2;1;otro;otro;habilidad;otro;2;2;0;no;si;si;si;si;no;yes;yes;1;2;3;1;2;2;8;10;12;12
300;II;M;18;U;mayor_3;J;4;3;servicios;otro;recomendacion;padre;1;2;0;no;si;no;no;si;si;yes;yes;3;1;2;1;3;2;2;15;15;15
301;II;H;18;U;mayor_3;J;4;3;profesor;otro;habilidad;madre;1;2;0;no;si;no;no;no;si;yes;no;4;3;2;1;1;3;2;10;10;11
302;II;H;18;R;mayor_3;J;3;2;otro;otro;habilidad;madre;1;3;0;no;no;no;si;no;si;no;no;5;3;2;1;1;3;2;10;11;12
303;II;M;17;U;mayor_3;J;3;3;otro;otro;recomendacion;madre;1;3;0;no;no;no;si;no;si;no;no;3;2;3;1;1;4;2;15;12;13
304;II;M;18;U;mayor_3;J;2;2;en_casa;servicios;recomendacion;madre;1;3;0;no;si;no;si;si;si;yes;yes;4;3;3;1;1;3;0;11;12;13
305;II;H;17;U;mayor_3;J;2;2;otro;otro;recomendacion;padre;2;1;0;no;no;no;no;si;no;yes;no;4;4;4;2;3;4;8;8;8;9
306;II;H;18;R;menor_e3;S;3;4;otro;otro;reputacion;madre;2;2;0;no;si;no;si;si;si;yes;no;4;2;5;3;4;1;6;15;16;16
307;II;H;17;U;mayor_3;J;3;1;servicios;otro;otro;madre;1;2;0;no;no;no;si;si;si;yes;yes;5;4;4;3;4;5;0;11;11;14
308;II;M;18;R;mayor_3;J;4;4;profesor;otro;reputacion;madre;2;2;0;no;no;no;si;si;si;yes;no;4;3;4;2;2;4;8;10;11;12
309;II;H;18;U;mayor_3;J;4;2;salud;otro;reputacion;padre;1;2;0;no;si;no;si;si;si;yes;yes;5;4;5;1;3;5;4;10;12;14
310;II;M;18;R;mayor_3;J;2;1;otro;otro;reputacion;madre;2;2;0;no;si;no;no;si;no;yes;yes;4;3;5;1;2;3;12;8;9;10
311;II;M;19;U;mayor_3;J;3;3;otro;servicios;recomendacion;otro;1;2;0;no;si;no;si;si;si;yes;no;4;3;5;3;3;5;16;11;12;12
312;II;M;18;U;mayor_3;J;2;3;otro;servicios;reputacion;padre;1;4;0;no;si;no;si;si;si;yes;yes;4;5;5;1;3;2;10;16;16;16
313;II;M;18;U;menor_e3;J;1;1;otro;otro;recomendacion;madre;2;2;0;no;si;no;no;no;si;no;no;4;4;3;1;1;3;2;13;13;13
314;II;H;17;R;mayor_3;J;1;2;en_casa;en_casa;recomendacion;madre;1;2;0;no;si;no;si;no;si;no;yes;3;5;2;2;2;1;2;16;17;18
315;II;M;18;U;mayor_3;J;2;1;otro;otro;recomendacion;madre;1;2;0;no;si;no;no;si;si;yes;yes;4;2;5;1;2;1;8;14;14;15
316;II;M;17;U;mayor_3;J;2;4;en_casa;salud;reputacion;madre;2;2;0;no;si;no;no;si;si;yes;yes;4;3;3;1;1;1;6;15;16;16
317;II;M;17;U;menor_e3;J;2;2;servicios;otro;habilidad;madre;2;2;0;si;si;no;no;si;si;yes;yes;4;4;4;2;3;5;6;12;12;12
318;II;M;18;R;mayor_3;S;3;2;otro;servicios;recomendacion;madre;2;2;0;no;no;no;no;no;no;yes;yes;4;1;1;1;1;5;15;12;9;10
319;II;H;18;U;mayor_3;J;4;4;profesor;servicios;recomendacion;madre;2;1;0;no;no;no;si;si;si;yes;no;3;2;4;1;4;3;6;11;12;12
320;II;M;18;U;mayor_3;J;4;4;salud;salud;reputacion;padre;1;2;1;si;si;no;si;si;si;yes;yes;2;4;4;1;1;4;2;14;12;13
321;II;M;17;U;mayor_3;J;2;2;otro;servicios;reputacion;padre;3;3;0;no;si;no;no;si;si;yes;yes;4;2;3;1;1;1;8;13;15;15
322;II;M;19;R;mayor_3;J;3;2;servicios;servicios;reputacion;padre;1;2;1;si;si;no;no;si;no;yes;no;3;3;3;4;3;3;0;9;8;10
323;II;H;18;U;menor_e3;J;4;3;profesor;servicios;habilidad;madre;2;1;0;no;no;no;si;si;si;yes;no;4;2;3;1;2;1;0;10;10;10
324;II;H;18;U;mayor_3;J;1;2;en_casa;otro;recomendacion;otro;2;1;0;no;no;no;no;no;no;yes;no;3;4;4;2;4;4;10;10;10;11
325;II;H;17;U;menor_e3;S;4;1;servicios;otro;recomendacion;madre;2;1;0;no;no;no;si;si;si;yes;yes;4;5;4;2;4;5;22;11;11;10
326;II;H;17;U;menor_e3;S;3;2;profesor;servicios;recomendacion;madre;1;1;0;no;no;no;no;si;si;yes;no;4;4;4;3;4;3;18;13;13;13
327;II;M;18;R;menor_e3;J;1;1;en_casa;otro;reputacion;madre;2;4;0;no;si;no;si;si;si;no;no;5;2;2;1;1;3;2;17;17;18
328;II;M;18;U;mayor_3;J;1;1;otro;otro;recomendacion;madre;2;2;0;si;no;no;si;si;si;yes;no;5;4;4;1;1;4;0;12;13;13
329;II;M;17;U;mayor_3;J;2;2;otro;otro;habilidad;madre;1;2;0;no;si;no;no;no;si;yes;no;5;4;5;1;2;5;12;12;12;14
330;II;M;18;U;mayor_3;J;2;1;otro;otro;reputacion;madre;2;2;0;no;no;no;si;si;si;yes;yes;4;3;1;1;1;5;10;12;13;14
331;II;H;17;U;mayor_3;J;1;1;otro;otro;reputacion;padre;1;2;0;no;no;no;no;no;si;yes;no;4;3;3;1;2;4;0;12;12;12
332;II;M;18;U;mayor_3;J;2;2;en_casa;en_casa;otro;madre;1;3;0;no;si;no;no;si;si;yes;no;4;3;3;1;2;2;0;18;18;18
333;II;M;17;U;mayor_3;J;1;1;servicios;profesor;reputacion;madre;1;3;0;no;si;no;no;si;si;yes;no;4;3;3;1;1;3;0;13;13;14
334;II;H;18;U;mayor_3;J;2;1;servicios;servicios;reputacion;madre;1;3;0;no;no;no;si;si;si;yes;no;4;2;4;1;3;2;0;14;15;15
335;II;H;18;U;menor_e3;S;4;4;profesor;profesor;reputacion;madre;1;2;0;no;si;no;si;si;si;yes;no;5;4;3;1;1;2;0;17;17;17
336;II;H;18;U;mayor_3;J;4;2;profesor;otro;recomendacion;madre;1;2;0;no;si;no;si;si;si;yes;yes;4;3;2;1;4;5;2;15;16;16
337;II;M;17;U;mayor_3;J;4;3;salud;servicios;reputacion;madre;1;3;0;no;si;no;no;si;si;yes;no;4;2;2;1;2;3;0;17;18;18
338;II;M;17;R;menor_e3;J;3;1;servicios;otro;reputacion;madre;2;4;0;no;si;no;no;si;si;no;no;3;1;2;1;1;3;0;18;19;19
339;II;H;18;R;menor_e3;J;3;2;servicios;otro;reputacion;madre;2;3;0;no;si;no;si;si;si;yes;no;5;4;2;1;1;4;0;14;15;15
